object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J114453.64+013716.57_N708,--,N708,512,108,S2021A,object,GAMA_J114453.64+013716.57_N708,LeathaudGreene,Merian,176.22351120931626,2020B-0288,1.6212713075224296,600.0,1,False
GAMA_J113739.96+002435.08_N708,--,N708,512,109,S2021A,object,GAMA_J113739.96+002435.08_N708,LeathaudGreene,Merian,174.41654121517755,2020B-0288,0.4097455388053543,600.0,1,False
GAMA_J113849.97+001934.74_N708,--,N708,512,110,S2021A,object,GAMA_J113849.97+001934.74_N708,LeathaudGreene,Merian,174.70820988240578,2020B-0288,0.32631815029784794,600.0,1,False
GAMA_J114000.61+001633.63_N708,--,N708,512,111,S2021A,object,GAMA_J114000.61+001633.63_N708,LeathaudGreene,Merian,175.00254859029513,2020B-0288,0.27600912479081635,600.0,1,False
GAMA_J114111.25+001332.46_N708,--,N708,512,112,S2021A,object,GAMA_J114111.25+001332.46_N708,LeathaudGreene,Merian,175.2968810081361,2020B-0288,0.22568514737732226,600.0,1,False
GAMA_J113357.12-005936.77_N708,--,N708,512,113,S2021A,object,GAMA_J113357.12-005936.77_N708,LeathaudGreene,Merian,173.48801671060158,2020B-0288,-0.9935494552367876,600.0,1,False
GAMA_J113507.10-010436.92_N708,--,N708,512,114,S2021A,object,GAMA_J113507.10-010436.92_N708,LeathaudGreene,Merian,173.7795969104945,2020B-0288,-1.0769235151946273,600.0,1,False
GAMA_J113617.74-010738.08_N708,--,N708,512,115,S2021A,object,GAMA_J113617.74-010738.08_N708,LeathaudGreene,Merian,174.07394902749374,2020B-0288,-1.127245185736059,600.0,1,False
GAMA_J113728.39-011039.32_N708,--,N708,512,116,S2021A,object,GAMA_J113728.39-011039.32_N708,LeathaudGreene,Merian,174.36830673173688,2020B-0288,-1.1775901420556971,600.0,1,False
GAMA_J113016.09+002524.25_N708,--,N708,512,117,S2021A,object,GAMA_J113016.09+002524.25_N708,LeathaudGreene,Merian,172.56707594263713,2020B-0288,0.4234049337869805,600.0,1,False
GAMA_J113126.10+002024.37_N708,--,N708,512,118,S2021A,object,GAMA_J113126.10+002024.37_N708,LeathaudGreene,Merian,172.8587631671079,2020B-0288,0.34010538828492626,600.0,1,False
GAMA_J113236.74+001723.22_N708,--,N708,512,119,S2021A,object,GAMA_J113236.74+001723.22_N708,LeathaudGreene,Merian,173.15311051759116,2020B-0288,0.2897842310052831,600.0,1,False
GAMA_J113347.38+001421.95_N708,--,N708,512,120,S2021A,object,GAMA_J113347.38+001421.95_N708,LeathaudGreene,Merian,173.44745003132945,2020B-0288,0.2394315292579568,600.0,1,False
GAMA_J112634.25-005921.77_N708,--,N708,512,121,S2021A,object,GAMA_J112634.25-005921.77_N708,LeathaudGreene,Merian,171.64274512267954,2020B-0288,-0.9893831640188592,600.0,1,False
GAMA_J112744.22-010421.31_N708,--,N708,512,122,S2021A,object,GAMA_J112744.22-010421.31_N708,LeathaudGreene,Merian,171.93427733970947,2020B-0288,-1.0725862686696988,600.0,1,False
GAMA_J112854.86-010722.41_N708,--,N708,512,123,S2021A,object,GAMA_J112854.86-010722.41_N708,LeathaudGreene,Merian,172.22859837468428,2020B-0288,-1.122893835470557,600.0,1,False
GAMA_J113005.50-011023.66_N708,--,N708,512,124,S2021A,object,GAMA_J113005.50-011023.66_N708,LeathaudGreene,Merian,172.5229235128094,2020B-0288,-1.1732412296410593,600.0,1,False
GAMA_J112254.63+002624.25_N708,--,N708,512,125,S2021A,object,GAMA_J112254.63+002624.25_N708,LeathaudGreene,Merian,170.72762596676532,2020B-0288,0.4400695205365673,600.0,1,False
GAMA_J112404.64+002125.13_N708,--,N708,512,126,S2021A,object,GAMA_J112404.64+002125.13_N708,LeathaudGreene,Merian,171.0193333236266,2020B-0288,0.3569832078763161,600.0,1,False
GAMA_J112515.28+001824.12_N708,--,N708,512,127,S2021A,object,GAMA_J112515.28+001824.12_N708,LeathaudGreene,Merian,171.31369015662244,2020B-0288,0.30670198571247403,600.0,1,False
GAMA_J112625.92+001522.94_N708,--,N708,512,128,S2021A,object,GAMA_J112625.92+001522.94_N708,LeathaudGreene,Merian,171.6080375895789,2020B-0288,0.2563727484918341,600.0,1,False
GAMA_J111914.03-005903.20_N708,--,N708,512,129,S2021A,object,GAMA_J111914.03-005903.20_N708,LeathaudGreene,Merian,169.80848030953834,2020B-0288,-0.9842249359808428,600.0,1,False
GAMA_J112023.99-010401.82_N708,--,N708,512,130,S2021A,object,GAMA_J112023.99-010401.82_N708,LeathaudGreene,Merian,170.0999655192351,2020B-0288,-1.0671725796362286,600.0,1,False
GAMA_J112134.62-010702.69_N708,--,N708,512,131,S2021A,object,GAMA_J112134.62-010702.69_N708,LeathaudGreene,Merian,170.3942559819726,2020B-0288,-1.1174144130710302,600.0,1,False
GAMA_J112245.25-011003.76_N708,--,N708,512,132,S2021A,object,GAMA_J112245.25-011003.76_N708,LeathaudGreene,Merian,170.6885490557609,2020B-0288,-1.1677124741123324,600.0,1,False
GAMA_J111535.80+002731.37_N708,--,N708,512,133,S2021A,object,GAMA_J111535.80+002731.37_N708,LeathaudGreene,Merian,168.89919103071753,2020B-0288,0.4587144922485168,600.0,1,False
GAMA_J111645.82+002233.33_N708,--,N708,512,134,S2021A,object,GAMA_J111645.82+002233.33_N708,LeathaudGreene,Merian,169.1909202837806,2020B-0288,0.3759249967564052,600.0,1,False
GAMA_J111756.46+001932.64_N708,--,N708,512,135,S2021A,object,GAMA_J111756.46+001932.64_N708,LeathaudGreene,Merian,169.48528761360038,2020B-0288,0.32573482485749605,600.0,1,False
GAMA_J111907.11+001631.72_N708,--,N708,512,136,S2021A,object,GAMA_J111907.11+001631.72_N708,LeathaudGreene,Merian,169.779643979806,2020B-0288,0.2754803144252822,600.0,1,False
GAMA_J111156.69-005841.16_N708,--,N708,512,137,S2021A,object,GAMA_J111156.69-005841.16_N708,LeathaudGreene,Merian,167.98622339328952,2020B-0288,-0.978101883300309,600.0,1,False
GAMA_J111306.63-010338.56_N708,--,N708,512,138,S2021A,object,GAMA_J111306.63-010338.56_N708,LeathaudGreene,Merian,168.2776627746453,2020B-0288,-1.0607115632220356,600.0,1,False
GAMA_J111417.26-010639.01_N708,--,N708,512,139,S2021A,object,GAMA_J111417.26-010639.01_N708,LeathaudGreene,Merian,168.57192330959003,2020B-0288,-1.1108371063616318,600.0,1,False
