object.1,object,comment,filter,seqtot,seqnum,seqid,expType,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J021432.07+333801.17_N540,XMM_J021432.07+333801.17_N540,--,N540,104,45,S2021B,object,LeathaudGreene,Merian,33.63365964762176,2020B-0288,-0.7564523332451195,900.0,1,False
XMM_J021541.92+335528.81_N540,XMM_J021541.92+335528.81_N540,--,N540,104,46,S2021B,object,LeathaudGreene,Merian,33.92467116882605,2020B-0288,-0.6901630636463875,900.0,1,False
XMM_J021652.47+341307.07_N540,XMM_J021652.47+341307.07_N540,--,N540,104,47,S2021B,object,LeathaudGreene,Merian,34.218632789525444,2020B-0288,-0.6519364655493298,900.0,1,False
XMM_J021803.02+343045.38_N540,XMM_J021803.02+343045.38_N540,--,N540,104,48,S2021B,object,LeathaudGreene,Merian,34.51260657325796,2020B-0288,-0.6140232799790482,900.0,1,False
XMM_J021751.02+342745.29_N540,XMM_J021751.02+342745.29_N540,--,N540,104,49,S2021B,object,LeathaudGreene,Merian,34.46258330010559,2020B-0288,-2.3606327804281833,900.0,1,False
XMM_J021900.51+344507.68_N540,XMM_J021900.51+344507.68_N540,--,N540,104,50,S2021B,object,LeathaudGreene,Merian,34.752134537945025,2020B-0288,-2.2950835785175907,900.0,1,False
XMM_J022010.83+350242.56_N540,XMM_J022010.83+350242.56_N540,--,N540,104,51,S2021B,object,LeathaudGreene,Merian,35.045156805590466,2020B-0288,-2.2573333372608406,900.0,1,False
XMM_J022121.16+352017.44_N540,XMM_J022121.16+352017.44_N540,--,N540,104,52,S2021B,object,LeathaudGreene,Merian,35.33818012225586,2020B-0288,-2.2199018052532566,900.0,1,False
XMM_J022115.29+351849.38_N540,XMM_J022115.29+351849.38_N540,--,N540,104,53,S2021B,object,LeathaudGreene,Merian,35.31371814252417,2020B-0288,-3.970217239013384,900.0,1,False
XMM_J022224.41+353606.28_N540,XMM_J022224.41+353606.28_N540,--,N540,104,54,S2021B,object,LeathaudGreene,Merian,35.60174633753186,2020B-0288,-3.90544217363302,900.0,1,False
XMM_J022334.51+355337.65_N540,XMM_J022334.51+355337.65_N540,--,N540,104,55,S2021B,object,LeathaudGreene,Merian,35.89379265371204,2020B-0288,-3.8681892184620734,900.0,1,False
XMM_J022444.59+361108.98_N540,XMM_J022444.59+361108.98_N540,--,N540,104,56,S2021B,object,LeathaudGreene,Merian,36.1858291660211,2020B-0288,-3.831260316696785,900.0,1,False
XMM_J022445.85+361127.78_N540,XMM_J022445.85+361127.78_N540,--,N540,104,57,S2021B,object,LeathaudGreene,Merian,36.191050934156095,2020B-0288,-5.5812595175973225,900.0,1,False
XMM_J022554.59+362838.97_N540,XMM_J022554.59+362838.97_N540,--,N540,104,58,S2021B,object,LeathaudGreene,Merian,36.47749260254856,2020B-0288,-5.517297340934071,900.0,1,False
XMM_J022704.44+364606.69_N540,XMM_J022704.44+364606.69_N540,--,N540,104,59,S2021B,object,LeathaudGreene,Merian,36.76852610596581,2020B-0288,-5.480565528563887,900.0,1,False
XMM_J022814.28+370334.34_N540,XMM_J022814.28+370334.34_N540,--,N540,104,60,S2021B,object,LeathaudGreene,Merian,37.05953924563782,2020B-0288,-5.4441631800494985,900.0,1,False
