,object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
147,GAMA_J110439.58+001912.13_N536,--,N536,512,148,S2021A,object,GAMA_J110439.58+001912.13_N708,Leauthaud,Merian,166.16491886865458,2020B-0288,0.32003841798826393,900,1,False
148,GAMA_J105359.75+003130.70_N536,--,N536,512,149,S2021A,object,GAMA_J105359.75+003130.70_N708,Leauthaud,Merian,163.4989814610357,2020B-0288,0.5251956973961649,900,1,False
149,GAMA_J105509.78+002637.58_N536,--,N536,512,150,S2021A,object,GAMA_J105509.78+002637.58_N708,Leauthaud,Merian,163.7907886545849,2020B-0288,0.4437734661120301,900,1,False
150,GAMA_J105620.44+002338.93_N536,--,N536,512,151,S2021A,object,GAMA_J105620.44+002338.93_N708,Leauthaud,Merian,164.08519475116526,2020B-0288,0.3941499817952413,900,1,False
151,GAMA_J105731.10+002039.89_N536,--,N536,512,152,S2021A,object,GAMA_J105731.10+002039.89_N708,Leauthaud,Merian,164.37958527847843,2020B-0288,0.3444143894705681,900,1,False
152,GAMA_J103622.78+020527.14_N536,--,N536,512,153,S2021A,object,GAMA_J103622.78+020527.14_N708,Leauthaud,Merian,159.09494684351102,2020B-0288,2.090873626277181,900,1,False
153,GAMA_J103732.99+020039.96_N536,--,N536,512,154,S2021A,object,GAMA_J103732.99+020039.96_N708,Leauthaud,Merian,159.38747845675616,2020B-0288,2.011102120568355,900,1,False
154,GAMA_J103843.73+015744.16_N536,--,N536,512,155,S2021A,object,GAMA_J103843.73+015744.16_N708,Leauthaud,Merian,159.6822447599365,2020B-0288,1.9622670585922133,900,1,False
155,GAMA_J103954.47+015447.81_N536,--,N536,512,156,S2021A,object,GAMA_J103954.47+015447.81_N708,Leauthaud,Merian,159.9769789377535,2020B-0288,1.9132815859380616,900,1,False
156,GAMA_J104654.86+003254.35_N536,--,N536,512,157,S2021A,object,GAMA_J104654.86+003254.35_N708,Leauthaud,Merian,161.72860052944668,2020B-0288,0.548430856814389,900,1,False
157,GAMA_J104804.90+002803.41_N536,--,N536,512,158,S2021A,object,GAMA_J104804.90+002803.41_N708,Leauthaud,Merian,162.02043749600296,2020B-0288,0.4676149497717837,900,1,False
158,GAMA_J104915.56+002505.78_N536,--,N536,512,159,S2021A,object,GAMA_J104915.56+002505.78_N708,Leauthaud,Merian,162.31485891384082,2020B-0288,0.418273474763351,900,1,False
159,GAMA_J105026.22+002207.69_N536,--,N536,512,160,S2021A,object,GAMA_J105026.22+002207.69_N708,Leauthaud,Merian,162.60926329654737,2020B-0288,0.36880442565691135,900,1,False
160,GAMA_J103953.32+003406.56_N536,--,N536,512,161,S2021A,object,GAMA_J103953.32+003406.56_N708,Leauthaud,Merian,159.97220769220542,2020B-0288,0.5684891471857226,900,1,False
161,GAMA_J104103.37+002918.06_N536,--,N536,512,162,S2021A,object,GAMA_J104103.37+002918.06_N708,Leauthaud,Merian,160.26407484539018,2020B-0288,0.4883510145231792,900,1,False
162,GAMA_J104214.04+002621.60_N536,--,N536,512,163,S2021A,object,GAMA_J104214.04+002621.60_N708,Leauthaud,Merian,160.55851207672777,2020B-0288,0.4393358673010073,900,1,False
163,GAMA_J104324.70+002324.64_N536,--,N536,512,164,S2021A,object,GAMA_J104324.70+002324.64_N708,Leauthaud,Merian,160.85293088146398,2020B-0288,0.3901779215157528,900,1,False
164,GAMA_J120000.00+031022.80_N536,--,N536,512,165,S2021A,object,GAMA_J120000.00+031022.80_N708,Leauthaud,Merian,180.0,2020B-0288,3.173,900,1,False
165,GAMA_J120109.92+030522.97_N536,--,N536,512,166,S2021A,object,GAMA_J120109.92+030522.97_N708,Leauthaud,Merian,180.29135018253845,2020B-0288,3.089714021626495,900,1,False
166,GAMA_J120220.48+030223.13_N536,--,N536,512,167,S2021A,object,GAMA_J120220.48+030223.13_N708,Leauthaud,Merian,180.5853697815208,2020B-0288,3.0397592160656663,900,1,False
167,GAMA_J120331.04+025923.42_N536,--,N536,512,168,S2021A,object,GAMA_J120331.04+025923.42_N708,Leauthaud,Merian,180.87936258724412,2020B-0288,2.9898395331969896,900,1,False
168,GAMA_J120000.00+002327.60_N536,--,N536,512,169,S2021A,object,GAMA_J120000.00+002327.60_N708,Leauthaud,Merian,180.0,2020B-0288,0.391,900,1,False
169,GAMA_J120109.98+001827.77_N536,--,N536,512,170,S2021A,object,GAMA_J120109.98+001827.77_N708,Leauthaud,Merian,180.29161824539972,2020B-0288,0.307714034527359,900,1,False
170,GAMA_J120220.62+001527.93_N536,--,N536,512,171,S2021A,object,GAMA_J120220.62+001527.93_N708,Leauthaud,Merian,180.5859332087132,2020B-0288,0.25775927306151963,900,1,False
171,GAMA_J120331.25+001228.22_N536,--,N536,512,172,S2021A,object,GAMA_J120331.25+001228.22_N708,Leauthaud,Merian,180.88024630153475,2020B-0288,0.20783967341793344,900,1,False
172,GAMA_J120343.76+014659.27_N536,--,N536,512,173,S2021A,object,GAMA_J120343.76+014659.27_N708,Leauthaud,Merian,180.93235102852555,2020B-0288,1.7831324811845823,900,1,False
173,GAMA_J120453.71+014159.81_N536,--,N536,512,174,S2021A,object,GAMA_J120453.71+014159.81_N708,Leauthaud,Merian,181.2237940427684,2020B-0288,1.6999472686998116,900,1,False
174,GAMA_J120604.30+013900.35_N536,--,N536,512,175,S2021A,object,GAMA_J120604.30+013900.35_N708,Leauthaud,Merian,181.51793754226586,2020B-0288,1.6500979753454528,900,1,False
175,GAMA_J120714.89+013601.05_N536,--,N536,512,176,S2021A,object,GAMA_J120714.89+013601.05_N708,Leauthaud,Merian,181.8120674134205,2020B-0288,1.6002921673190016,900,1,False
176,GAMA_J120727.47+002336.70_N536,--,N536,512,177,S2021A,object,GAMA_J120727.47+002336.70_N708,Leauthaud,Merian,181.86449263063545,2020B-0288,0.3935295462289744,900,1,False
177,GAMA_J120837.46+001837.68_N536,--,N536,512,178,S2021A,object,GAMA_J120837.46+001837.68_N708,Leauthaud,Merian,182.156093992012,2020B-0288,0.3104671032051791,900,1,False
178,GAMA_J120948.09+001538.65_N536,--,N536,512,179,S2021A,object,GAMA_J120948.09+001538.65_N708,Leauthaud,Merian,182.45040056577804,2020B-0288,0.2607365094020569,900,1,False
