object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
XMM_J021803.02-003650.48_N708,--,N708,104,48,S2021B,object,XMM_J021803.02-003650.48_N708,LeathaudGreene,Merian,34.51260657325796,2020B-0288,-0.6140232799790482,600.0,1,False
XMM_J021751.02-022138.27_N708,--,N708,104,49,S2021B,object,XMM_J021751.02-022138.27_N708,LeathaudGreene,Merian,34.46258330010559,2020B-0288,-2.360632780428183,600.0,1,False
XMM_J021900.51-021742.30_N708,--,N708,104,50,S2021B,object,XMM_J021900.51-021742.30_N708,LeathaudGreene,Merian,34.752134537945025,2020B-0288,-2.295083578517591,600.0,1,False
XMM_J022010.83-021526.40_N708,--,N708,104,51,S2021B,object,XMM_J022010.83-021526.40_N708,LeathaudGreene,Merian,35.045156805590466,2020B-0288,-2.257333337260841,600.0,1,False
XMM_J022121.16-021311.64_N708,--,N708,104,52,S2021B,object,XMM_J022121.16-021311.64_N708,LeathaudGreene,Merian,35.33818012225586,2020B-0288,-2.219901805253257,600.0,1,False
XMM_J022115.29-035812.78_N708,--,N708,104,53,S2021B,object,XMM_J022115.29-035812.78_N708,LeathaudGreene,Merian,35.313718142524166,2020B-0288,-3.9702172390133836,600.0,1,False
XMM_J022224.41-035419.59_N708,--,N708,104,54,S2021B,object,XMM_J022224.41-035419.59_N708,LeathaudGreene,Merian,35.60174633753186,2020B-0288,-3.90544217363302,600.0,1,False
XMM_J022334.51-035205.48_N708,--,N708,104,55,S2021B,object,XMM_J022334.51-035205.48_N708,LeathaudGreene,Merian,35.89379265371204,2020B-0288,-3.8681892184620743,600.0,1,False
XMM_J022444.59-034952.53_N708,--,N708,104,56,S2021B,object,XMM_J022444.59-034952.53_N708,LeathaudGreene,Merian,36.1858291660211,2020B-0288,-3.831260316696785,600.0,1,False
XMM_J022445.85-053452.53_N708,--,N708,104,57,S2021B,object,XMM_J022445.85-053452.53_N708,LeathaudGreene,Merian,36.191050934156095,2020B-0288,-5.581259517597322,600.0,1,False
XMM_J022554.59-053102.27_N708,--,N708,104,58,S2021B,object,XMM_J022554.59-053102.27_N708,LeathaudGreene,Merian,36.47749260254856,2020B-0288,-5.517297340934071,600.0,1,False
XMM_J022704.44-052850.03_N708,--,N708,104,59,S2021B,object,XMM_J022704.44-052850.03_N708,LeathaudGreene,Merian,36.768526105965805,2020B-0288,-5.480565528563886,600.0,1,False
XMM_J022814.28-052638.98_N708,--,N708,104,60,S2021B,object,XMM_J022814.28-052638.98_N708,LeathaudGreene,Merian,37.05953924563782,2020B-0288,-5.4441631800494985,600.0,1,False
XMM_J020437.64+005120.79_N708,--,N708,104,61,S2021B,object,XMM_J020437.64+005120.79_N708,LeathaudGreene,Merian,31.156863803770406,2020B-0288,0.8557772835558601,600.0,1,False
XMM_J020547.82+005527.10_N708,--,N708,104,62,S2021B,object,XMM_J020547.82+005527.10_N708,LeathaudGreene,Merian,31.44925838642213,2020B-0288,0.924195979171048,600.0,1,False
XMM_J020658.58+005749.68_N708,--,N708,104,63,S2021B,object,XMM_J020658.58+005749.68_N708,LeathaudGreene,Merian,31.74411491065637,2020B-0288,0.9638002171475297,600.0,1,False
XMM_J020809.35+010011.19_N708,--,N708,104,64,S2021B,object,XMM_J020809.35+010011.19_N708,LeathaudGreene,Merian,32.0389949753259,2020B-0288,1.0031084470623017,600.0,1,False
XMM_J020755.03-004354.49_N708,--,N708,104,65,S2021B,object,XMM_J020755.03-004354.49_N708,LeathaudGreene,Merian,31.979312112987262,2020B-0288,-0.7318039758974969,600.0,1,False
XMM_J020904.88-003950.68_N708,--,N708,104,66,S2021B,object,XMM_J020904.88-003950.68_N708,LeathaudGreene,Merian,32.270369664387566,2020B-0288,-0.6640780292111941,600.0,1,False
XMM_J021015.44-003729.72_N708,--,N708,104,67,S2021B,object,XMM_J021015.44-003729.72_N708,LeathaudGreene,Merian,32.56435902002334,2020B-0288,-0.6249225405861291,600.0,1,False
XMM_J021126.00-003509.84_N708,--,N708,104,68,S2021B,object,XMM_J021126.00-003509.84_N708,LeathaudGreene,Merian,32.858360413467885,2020B-0288,-0.5860685788145598,600.0,1,False
XMM_J021115.11-021943.22_N708,--,N708,104,69,S2021B,object,XMM_J021115.11-021943.22_N708,LeathaudGreene,Merian,32.81297195275174,2020B-0288,-2.3286728796299236,600.0,1,False
XMM_J021224.63-021541.98_N708,--,N708,104,70,S2021B,object,XMM_J021224.63-021541.98_N708,LeathaudGreene,Merian,33.10262920684001,2020B-0288,-2.26166332328335,600.0,1,False
XMM_J021334.97-021322.69_N708,--,N708,104,71,S2021B,object,XMM_J021334.97-021322.69_N708,LeathaudGreene,Merian,33.39571427660192,2020B-0288,-2.2229708666283563,600.0,1,False
XMM_J021445.31-021104.50_N708,--,N708,104,72,S2021B,object,XMM_J021445.31-021104.50_N708,LeathaudGreene,Merian,33.68880010141996,2020B-0288,-2.184585435723031,600.0,1,False
XMM_J021439.79-035554.88_N708,--,N708,104,73,S2021B,object,XMM_J021439.79-035554.88_N708,LeathaudGreene,Merian,33.66582735766721,2020B-0288,-3.9319126190374583,600.0,1,False
XMM_J021548.96-035156.34_N708,--,N708,104,74,S2021B,object,XMM_J021548.96-035156.34_N708,LeathaudGreene,Merian,33.95402002411822,2020B-0288,-3.8656505880959213,600.0,1,False
XMM_J021659.07-034938.78_N708,--,N708,104,75,S2021B,object,XMM_J021659.07-034938.78_N708,LeathaudGreene,Merian,34.24616318828784,2020B-0288,-3.82744023984789,600.0,1,False
XMM_J021809.19-034722.35_N708,--,N708,104,76,S2021B,object,XMM_J021809.19-034722.35_N708,LeathaudGreene,Merian,34.53829606730629,2020B-0288,-3.7895424477253545,600.0,1,False
XMM_J021810.04-053218.86_N708,--,N708,104,77,S2021B,object,XMM_J021810.04-053218.86_N708,LeathaudGreene,Merian,34.541856594835615,2020B-0288,-5.538573727215611,600.0,1,False
XMM_J021918.84-052823.14_N708,--,N708,104,78,S2021B,object,XMM_J021918.84-052823.14_N708,LeathaudGreene,Merian,34.82851887557936,2020B-0288,-5.4730947789278055,600.0,1,False
