object,comment,filter,seqtot,seqnum,seqid,expType,object.1,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J135006.12+003242.07_N540,--,N540,512,47,S2021A,object,GAMA_J135006.12+003242.07_N708,Leauthaud,Merian,207.5255216704690,2020B-0288,0.5450205977842160,900,1,FALSE
GAMA_J135116.70+003012.61_N540,--,N540,512,48,S2021A,object,GAMA_J135116.70+003012.61_N708,Leauthaud,Merian,207.81960083547000,2020B-0288,0.5035037909796440,900,1,FALSE
GAMA_J135111.18-005304.66_N540,--,N540,512,49,S2021A,object,GAMA_J135111.18-005304.66_N708,Leauthaud,Merian,207.7965999720650,2020B-0288,-0.8846281828680200,900,1,FALSE
GAMA_J135221.34-005720.63_N540,--,N540,512,50,S2021A,object,GAMA_J135221.34-005720.63_N708,Leauthaud,Merian,208.08895402357700,2020B-0288,-0.9557316322108830,900,1,FALSE
GAMA_J135332.10-005949.51_N540,--,N540,512,51,S2021A,object,GAMA_J135332.10-005949.51_N708,Leauthaud,Merian,208.38378764173000,2020B-0288,-0.9970875933558750,900,1,FALSE
GAMA_J135442.87-010217.42_N540,--,N540,512,52,S2021A,object,GAMA_J135442.87-010217.42_N708,Leauthaud,Merian,208.67864459458100,2020B-0288,-1.0381727730739700,900,1,FALSE
GAMA_J134055.90+003800.39_N540,--,N540,512,53,S2021A,object,GAMA_J134055.90+003800.39_N708,Leauthaud,Merian,205.23291949828500,2020B-0288,0.6334436165766730,900,1,FALSE
GAMA_J134205.79+003337.63_N540,--,N540,512,54,S2021A,object,GAMA_J134205.79+003337.63_N708,Leauthaud,Merian,205.52414946813600,2020B-0288,0.5604554405089880,900,1,FALSE
GAMA_J134316.37+003104.28_N540,--,N540,512,55,S2021A,object,GAMA_J134316.37+003104.28_N708,Leauthaud,Merian,205.81824229355500,2020B-0288,0.5178576737992880,900,1,FALSE
GAMA_J134426.96+002831.83_N540,--,N540,512,56,S2021A,object,GAMA_J134426.96+002831.83_N708,Leauthaud,Merian,206.11234600576200,2020B-0288,0.4755104542244830,900,1,FALSE
GAMA_J134423.14-005353.06_N540,--,N540,512,57,S2021A,object,GAMA_J134423.14-005353.06_N708,Leauthaud,Merian,206.0964473840570,2020B-0288,-0.898072496537179,900,1,FALSE
GAMA_J134533.30-005813.59_N540,--,N540,512,58,S2021A,object,GAMA_J134533.30-005813.59_N708,Leauthaud,Merian,206.3887774642550,2020B-0288,-0.970441719130864,900,1,FALSE
GAMA_J134644.06-010045.46_N540,--,N540,512,59,S2021A,object,GAMA_J134644.06-010045.46_N708,Leauthaud,Merian,206.68359719955900,2020B-0288,-1.0126301615008700,900,1,FALSE
GAMA_J134754.82-010316.41_N540,--,N540,512,60,S2021A,object,GAMA_J134754.82-010316.41_N708,Leauthaud,Merian,206.97844004289200,2020B-0288,-1.0545609468215100,900,1,FALSE
GAMA_J133731.50-005439.00_N540,--,N540,512,61,S2021A,object,GAMA_J133731.50-005439.00_N708,Leauthaud,Merian,204.3812811525880,2020B-0288,-0.9108343353392780,900,1,FALSE
GAMA_J133841.66-005903.89_N540,--,N540,512,62,S2021A,object,GAMA_J133841.66-005903.89_N708,Leauthaud,Merian,204.67358480205000,2020B-0288,-0.9844159425094770,900,1,FALSE
GAMA_J133952.41-010138.66_N540,--,N540,512,63,S2021A,object,GAMA_J133952.41-010138.66_N708,Leauthaud,Merian,204.96838903449100,2020B-0288,-1.0274065776681200,900,1,FALSE
GAMA_J134103.17-010412.55_N540,--,N540,512,64,S2021A,object,GAMA_J134103.17-010412.55_N708,Leauthaud,Merian,205.26321606380700,2020B-0288,-1.0701530260136200,900,1,FALSE
GAMA_J133036.02-005522.39_N540,--,N540,512,65,S2021A,object,GAMA_J133036.02-005522.39_N708,Leauthaud,Merian,202.65010144997500,2020B-0288,-0.922887719579268,900,1,FALSE
GAMA_J133146.17-005951.45_N540,--,N540,512,66,S2021A,object,GAMA_J133146.17-005951.45_N708,Leauthaud,Merian,202.9423762286970,2020B-0288,-0.9976261676046970,900,1,FALSE
GAMA_J133256.91-010228.99_N540,--,N540,512,67,S2021A,object,GAMA_J133256.91-010228.99_N708,Leauthaud,Merian,203.2371633447680,2020B-0288,-1.0413874195234000,900,1,FALSE
GAMA_J133407.67-010505.70_N540,--,N540,512,68,S2021A,object,GAMA_J133407.67-010505.70_N708,Leauthaud,Merian,203.53197286077900,2020B-0288,-1.0849183024588100,900,1,FALSE
GAMA_J115616.04-005959.52_N540,--,N540,512,69,S2021A,object,GAMA_J115616.04-005959.52_N708,Leauthaud,Merian,179.06685790306300,2020B-0288,-0.9998674064120840,900,1,FALSE
GAMA_J115726.06-010459.63_N540,--,N540,512,70,S2021A,object,GAMA_J115726.06-010459.63_N708,Leauthaud,Merian,179.35858536641500,2020B-0288,-1.0832321354179900,900,1,FALSE
GAMA_J115836.72-010759.80_N540,--,N540,512,71,S2021A,object,GAMA_J115836.72-010759.80_N708,Leauthaud,Merian,179.65303212982000,2020B-0288,-1.1332792253582700,900,1,FALSE
GAMA_J115947.39-011059.87_N540,--,N540,512,72,S2021A,object,GAMA_J115947.39-011059.87_N708,Leauthaud,Merian,179.9474888017360,2020B-0288,-1.1832995031790100,900,1,FALSE
GAMA_J115616.23+014659.27_N540,--,N540,512,73,S2021A,object,GAMA_J115616.23+014659.27_N708,Leauthaud,Merian,179.06764897147400,2020B-0288,1.7831324811845800,900,1,FALSE
GAMA_J115726.20+014159.16_N540,--,N540,512,74,S2021A,object,GAMA_J115726.20+014159.16_N708,Leauthaud,Merian,179.35917440122000,2020B-0288,1.6997678022601000,900,1,FALSE
GAMA_J115836.80+013858.99_N540,--,N540,512,75,S2021A,object,GAMA_J115836.80+013858.99_N708,Leauthaud,Merian,179.65336546440800,2020B-0288,1.649720754683440,900,1,FALSE
GAMA_J115947.41+013558.92_N540,--,N540,512,76,S2021A,object,GAMA_J115947.41+013558.92_N708,Leauthaud,Merian,179.947541474039,2020B-0288,1.5997004963226400,900,1,FALSE
GAMA_J115232.52+002336.70_N540,--,N540,512,77,S2021A,object,GAMA_J115232.52+002336.70_N708,Leauthaud,Merian,178.13550736936500,2020B-0288,0.3935295462289740,900,1,FALSE
GAMA_J115342.51+001836.38_N540,--,N540,512,78,S2021A,object,GAMA_J115342.51+001836.38_N708,Leauthaud,Merian,178.42714203495800,2020B-0288,0.3101082454839690,900,1,FALSE
GAMA_J115453.15+001535.93_N540,--,N540,512,79,S2021A,object,GAMA_J115453.15+001535.93_N708,Leauthaud,Merian,178.72146485531100,2020B-0288,0.2599822100989440,900,1,FALSE
GAMA_J115603.78+001235.54_N540,--,N540,512,80,S2021A,object,GAMA_J115603.78+001235.54_N708,Leauthaud,Merian,179.0157843770500,2020B-0288,0.20987461599790300,900,1,FALSE
GAMA_J114848.61-005955.71_N540,--,N540,512,81,S2021A,object,GAMA_J114848.61-005955.71_N708,Leauthaud,Merian,177.20257461518700,2020B-0288,-0.9988085729774400,900,1,FALSE
GAMA_J114958.62-010456.15_N540,--,N540,512,82,S2021A,object,GAMA_J114958.62-010456.15_N708,Leauthaud,Merian,177.49425270627600,2020B-0288,-1.0822644395783300,900,1,FALSE
GAMA_J115109.28-010756.84_N540,--,N540,512,83,S2021A,object,GAMA_J115109.28-010756.84_N708,Leauthaud,Merian,177.78866786136100,2020B-0288,-1.1324562563480000,900,1,FALSE
