,comment,filter,seqtot,seqnum,expType,object,proposer,program,RA,propid,dec,expTime
81,--,N708,168,82,science,G09,LeathaudGreene,Merian,140.14177929524644,2020B-XXXX,1.167267886058613,600.0
82,--,N708,168,83,science,G09,LeathaudGreene,Merian,140.43675421061872,2020B-XXXX,1.126807076425845,600.0
83,--,N708,168,84,science,G09,LeathaudGreene,Merian,140.73169747266437,2020B-XXXX,1.0860316112433392,600.0
84,--,N708,168,85,science,G09,LeathaudGreene,Merian,139.01843656480966,2020B-XXXX,2.8545885413943797,600.0
85,--,N708,168,86,science,G09,LeathaudGreene,Merian,139.31270580042244,2020B-XXXX,2.789760667703987,600.0
86,--,N708,168,87,science,G09,LeathaudGreene,Merian,139.60854656026788,2020B-XXXX,2.749731312609602,600.0
87,--,N708,168,88,science,G09,LeathaudGreene,Merian,139.90434408088726,2020B-XXXX,2.709381000534457,600.0
88,--,N708,168,89,science,G09,LeathaudGreene,Merian,142.2729441254818,2020B-XXXX,-0.3954710953160569,600.0
89,--,N708,168,90,science,G09,LeathaudGreene,Merian,142.56426686386652,2020B-XXXX,-0.46316691856033804,600.0
90,--,N708,168,91,science,G09,LeathaudGreene,Merian,142.8584154148401,2020B-XXXX,-0.5048400046246485,600.0
91,--,N708,168,92,science,G09,LeathaudGreene,Merian,143.1525446791356,2020B-XXXX,-0.5468098666925176,600.0
92,--,N708,168,93,science,G09,LeathaudGreene,Merian,141.46369236560594,2020B-XXXX,1.2189131874799999,600.0
93,--,N708,168,94,science,G09,LeathaudGreene,Merian,141.75640509633817,2020B-XXXX,1.1519101803316263,600.0
94,--,N708,168,95,science,G09,LeathaudGreene,Merian,142.05134913572363,2020B-XXXX,1.110633069855072,600.0
95,--,N708,168,96,science,G09,LeathaudGreene,Merian,142.34626188976992,2020B-XXXX,1.0690529158414124,600.0
96,--,N708,168,97,science,G09,LeathaudGreene,Merian,140.63378867070807,2020B-XXXX,2.8364915989432022,600.0
97,--,N708,168,98,science,G09,LeathaudGreene,Merian,140.92795015557238,2020B-XXXX,2.770212935306231,600.0
98,--,N708,168,99,science,G09,LeathaudGreene,Merian,141.2237256277249,2020B-XXXX,2.7293504035801606,600.0
99,--,N708,168,100,science,G09,LeathaudGreene,Merian,141.51945797193977,2020B-XXXX,2.688178438903783,600.0
100,--,N708,168,101,science,G09,LeathaudGreene,Merian,143.89996138036227,2020B-XXXX,-0.4039983035451516,600.0
101,--,N708,168,102,science,G09,LeathaudGreene,Merian,144.19129116982236,2020B-XXXX,-0.47304725197389635,600.0
102,--,N708,168,103,science,G09,LeathaudGreene,Merian,144.48544504243864,2020B-XXXX,-0.5154930026981394,600.0
103,--,N708,168,104,science,G09,LeathaudGreene,Merian,144.7795803023365,2020B-XXXX,-0.5582235018925925,600.0
104,--,N708,168,105,science,G09,LeathaudGreene,Merian,143.0863616060631,2020B-XXXX,1.2042475195115945,600.0
105,--,N708,168,106,science,G09,LeathaudGreene,Merian,143.37902189099665,2020B-XXXX,1.1358677623744982,600.0
106,--,N708,168,107,science,G09,LeathaudGreene,Merian,143.67393481700176,2020B-XXXX,1.093803332986998,600.0
107,--,N708,168,108,science,G09,LeathaudGreene,Merian,143.96881690825606,2020B-XXXX,1.0514477707131245,600.0
108,--,N708,168,109,science,G09,LeathaudGreene,Merian,142.25512044205766,2020B-XXXX,2.8166699753486406,600.0
109,--,N708,168,110,science,G09,LeathaudGreene,Merian,142.5491716498619,2020B-XXXX,2.7489881214956546,600.0
