,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
107,test,N708,248,108,Engineering run test,object,G09,LeathaudGreene,Merian,137.4453732471886,2020B-0288,3.982760225440691,600.0,1
108,test,N708,248,109,Engineering run test,object,G09,LeathaudGreene,Merian,140.6507211295329,2020B-0288,-0.7733267327496111,600.0,1
109,test,N708,248,110,Engineering run test,object,G09,LeathaudGreene,Merian,140.94168900356112,2020B-0288,-0.8412277599352525,600.0,1
110,test,N708,248,111,Engineering run test,object,G09,LeathaudGreene,Merian,141.2356278744071,2020B-0288,-0.8837102990066219,600.0,1
111,test,N708,248,112,Engineering run test,object,G09,LeathaudGreene,Merian,141.52954820743457,2020B-0288,-0.9264909724586616,600.0,1
112,test,N708,248,113,Engineering run test,object,G09,LeathaudGreene,Merian,139.8548769926934,2020B-0288,0.8506561212501939,600.0,1
113,test,N708,248,114,Engineering run test,object,G09,LeathaudGreene,Merian,140.1472345124182,2020B-0288,0.7834352885977431,600.0,1
114,test,N708,248,115,Engineering run test,object,G09,LeathaudGreene,Merian,140.4419462157179,2020B-0288,0.7413306647524704,600.0,1
115,test,N708,248,116,Engineering run test,object,G09,LeathaudGreene,Merian,140.73662728647045,2020B-0288,0.6989217652926712,600.0,1
116,test,N708,248,117,Engineering run test,object,G09,LeathaudGreene,Merian,139.033702120104,2020B-0288,2.4770835048581747,600.0,1
117,test,N708,248,118,Engineering run test,object,G09,LeathaudGreene,Merian,139.32750662604292,2020B-0288,2.410578080293809,600.0,1
118,test,N708,248,119,Engineering run test,object,G09,LeathaudGreene,Merian,139.62302678456916,2020B-0288,2.3688718675792546,600.0,1
119,test,N708,248,120,Engineering run test,object,G09,LeathaudGreene,Merian,139.91850437708737,2020B-0288,2.3268550820057157,600.0,1
120,test,N708,248,121,Engineering run test,object,G09,LeathaudGreene,Merian,138.17220407072276,2020B-0288,4.101142840015036,600.0,1
121,test,N708,248,122,Engineering run test,object,G09,LeathaudGreene,Merian,138.46751396693338,2020B-0288,4.035402613764674,600.0,1
122,test,N708,248,123,Engineering run test,object,G09,LeathaudGreene,Merian,138.76387905946322,2020B-0288,3.9941235482393305,600.0,1
123,test,N708,248,124,Engineering run test,object,G09,LeathaudGreene,Merian,139.06018984969288,2020B-0288,3.952527354893765,600.0,1
124,test,N708,248,125,Engineering run test,object,G09,LeathaudGreene,Merian,142.26977628050722,2020B-0288,-0.7909309137015524,600.0,1
125,test,N708,248,126,Engineering run test,object,G09,LeathaudGreene,Merian,142.5607565909645,2020B-0288,-0.8601763739333592,600.0,1
126,test,N708,248,127,Engineering run test,object,G09,LeathaudGreene,Merian,142.85470500355007,2020B-0288,-0.9034041105217816,600.0,1
127,test,N708,248,128,Engineering run test,object,G09,LeathaudGreene,Merian,143.14863572714947,2020B-0288,-0.9469180287027206,600.0,1
128,test,N708,248,129,Engineering run test,object,G09,LeathaudGreene,Merian,141.46925640380556,2020B-0288,0.8277903389977285,600.0,1
129,test,N708,248,130,Engineering run test,object,G09,LeathaudGreene,Merian,141.76156708176455,2020B-0288,0.7592022161300954,600.0,1
130,test,N708,248,131,Engineering run test,object,G09,LeathaudGreene,Merian,142.05625152829376,2020B-0288,0.7163378693663934,600.0,1
131,test,N708,248,132,Engineering run test,object,G09,LeathaudGreene,Merian,142.35090596083612,2020B-0288,0.6731810818350138,600.0,1
132,test,N708,248,133,Engineering run test,object,G09,LeathaudGreene,Merian,140.64842719021905,2020B-0288,2.4498962221451923,600.0,1
133,test,N708,248,134,Engineering run test,object,G09,LeathaudGreene,Merian,140.94212719492572,2020B-0288,2.3819959810851064,600.0,1
134,test,N708,248,135,Engineering run test,object,G09,LeathaudGreene,Merian,141.23758418344536,2020B-0288,2.339512878355735,600.0,1
135,test,N708,248,136,Engineering run test,object,G09,LeathaudGreene,Merian,141.53299897969907,2020B-0288,2.2967309518925587,600.0,1
136,test,N708,248,137,Engineering run test,object,G09,LeathaudGreene,Merian,139.79230448520082,2020B-0288,4.071565980430498,600.0,1
137,test,N708,248,138,Engineering run test,object,G09,LeathaudGreene,Merian,140.0874544035979,2020B-0288,4.004398017824944,600.0,1
138,test,N708,248,139,Engineering run test,object,G09,LeathaudGreene,Merian,140.3837215851559,2020B-0288,3.9623217982366348,600.0,1
139,test,N708,248,140,Engineering run test,object,G09,LeathaudGreene,Merian,140.67993456793835,2020B-0288,3.919940142908264,600.0,1
140,test,N708,248,141,Engineering run test,object,G09,LeathaudGreene,Merian,143.89684529070433,2020B-0288,-0.8079859259939982,600.0,1
141,test,N708,248,142,Engineering run test,object,G09,LeathaudGreene,Merian,144.1878404142976,2020B-0288,-0.8785267721784201,600.0,1
142,test,N708,248,143,Engineering run test,object,G09,LeathaudGreene,Merian,144.4817998685851,2020B-0288,-0.9224686224247834,600.0,1
