,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
85,--,N708,384,86,TEST,science,GAMA,LeathaudGreene,Merian,171.0193333236266,2020B-XXXX,0.3569832078763161,600.0,1
86,--,N708,384,87,TEST,science,GAMA,LeathaudGreene,Merian,171.31369015662244,2020B-XXXX,0.30670198571247403,600.0,1
87,--,N708,384,88,TEST,science,GAMA,LeathaudGreene,Merian,171.6080375895789,2020B-XXXX,0.2563727484918341,600.0,1
88,--,N708,384,89,TEST,science,GAMA,LeathaudGreene,Merian,168.89919103071753,2020B-XXXX,0.4587144922485168,600.0,1
89,--,N708,384,90,TEST,science,GAMA,LeathaudGreene,Merian,169.1909202837806,2020B-XXXX,0.3759249967564052,600.0,1
90,--,N708,384,91,TEST,science,GAMA,LeathaudGreene,Merian,169.48528761360038,2020B-XXXX,0.32573482485749605,600.0,1
91,--,N708,384,92,TEST,science,GAMA,LeathaudGreene,Merian,169.779643979806,2020B-XXXX,0.2754803144252822,600.0,1
92,--,N708,384,93,TEST,science,GAMA,LeathaudGreene,Merian,167.08477577918018,2020B-XXXX,0.4803042888490965,600.0,1
93,--,N708,384,94,TEST,science,GAMA,LeathaudGreene,Merian,167.37652911902194,2020B-XXXX,0.39789267190626654,600.0,1
94,--,N708,384,95,TEST,science,GAMA,LeathaudGreene,Merian,167.6709081843525,2020B-XXXX,0.34784337315549435,600.0,1
95,--,N708,384,96,TEST,science,GAMA,LeathaudGreene,Merian,167.96527472212563,2020B-XXXX,0.2977136016580255,600.0,1
96,--,N708,384,97,TEST,science,GAMA,LeathaudGreene,Merian,165.2843699849116,2020B-XXXX,0.501809609668813,600.0,1
97,--,N708,384,98,TEST,science,GAMA,LeathaudGreene,Merian,165.57614911993994,2020B-XXXX,0.4198546368029435,600.0,1
98,--,N708,384,99,TEST,science,GAMA,LeathaudGreene,Merian,165.87054102383055,2020B-XXXX,0.3699947290841167,600.0,1
99,--,N708,384,100,TEST,science,GAMA,LeathaudGreene,Merian,166.1649188686546,2020B-XXXX,0.32003841798826393,600.0,1
100,--,N708,384,101,TEST,science,GAMA,LeathaudGreene,Merian,163.49898146103573,2020B-XXXX,0.5251956973961649,600.0,1
101,--,N708,384,102,TEST,science,GAMA,LeathaudGreene,Merian,163.79078865458493,2020B-XXXX,0.44377346611203006,600.0,1
102,--,N708,384,103,TEST,science,GAMA,LeathaudGreene,Merian,164.08519475116523,2020B-XXXX,0.3941499817952413,600.0,1
103,--,N708,384,104,TEST,science,GAMA,LeathaudGreene,Merian,164.37958527847843,2020B-XXXX,0.34441438947056807,600.0,1
104,--,N708,384,105,TEST,science,GAMA,LeathaudGreene,Merian,159.09494684351102,2020B-XXXX,2.090873626277181,600.0,1
105,--,N708,384,106,TEST,science,GAMA,LeathaudGreene,Merian,159.38747845675616,2020B-XXXX,2.011102120568355,600.0,1
106,--,N708,384,107,TEST,science,GAMA,LeathaudGreene,Merian,159.6822447599365,2020B-XXXX,1.9622670585922135,600.0,1
107,--,N708,384,108,TEST,science,GAMA,LeathaudGreene,Merian,159.9769789377535,2020B-XXXX,1.9132815859380616,600.0,1
108,--,N708,384,109,TEST,science,GAMA,LeathaudGreene,Merian,161.7286005294467,2020B-XXXX,0.548430856814389,600.0,1
109,--,N708,384,110,TEST,science,GAMA,LeathaudGreene,Merian,162.02043749600298,2020B-XXXX,0.4676149497717837,600.0,1
110,--,N708,384,111,TEST,science,GAMA,LeathaudGreene,Merian,162.3148589138408,2020B-XXXX,0.418273474763351,600.0,1
111,--,N708,384,112,TEST,science,GAMA,LeathaudGreene,Merian,162.60926329654737,2020B-XXXX,0.36880442565691135,600.0,1
112,--,N708,384,113,TEST,science,GAMA,LeathaudGreene,Merian,159.9722076922054,2020B-XXXX,0.5684891471857226,600.0,1
113,--,N708,384,114,TEST,science,GAMA,LeathaudGreene,Merian,160.26407484539018,2020B-XXXX,0.4883510145231792,600.0,1
114,--,N708,384,115,TEST,science,GAMA,LeathaudGreene,Merian,160.55851207672777,2020B-XXXX,0.43933586730100727,600.0,1
