,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count
68,--,N70,512,69,S2021A,object,GAMA,LeathaudGreene,Merian,179.0668579030634,2020B-0288,-0.9998674064120842,600.0,1
69,--,N70,512,70,S2021A,object,GAMA,LeathaudGreene,Merian,179.35858536641456,2020B-0288,-1.0832321354179888,600.0,1
70,--,N70,512,71,S2021A,object,GAMA,LeathaudGreene,Merian,179.65303212981965,2020B-0288,-1.1332792253582713,600.0,1
71,--,N70,512,72,S2021A,object,GAMA,LeathaudGreene,Merian,179.9474888017356,2020B-0288,-1.1832995031790141,600.0,1
72,--,N70,512,73,S2021A,object,GAMA,LeathaudGreene,Merian,179.0676489714745,2020B-0288,1.7831324811845823,600.0,1
73,--,N70,512,74,S2021A,object,GAMA,LeathaudGreene,Merian,179.35917440121986,2020B-0288,1.6997678022601033,600.0,1
74,--,N70,512,75,S2021A,object,GAMA,LeathaudGreene,Merian,179.65336546440844,2020B-0288,1.649720754683439,600.0,1
75,--,N70,512,76,S2021A,object,GAMA,LeathaudGreene,Merian,179.94754147403899,2020B-0288,1.5997004963226404,600.0,1
76,--,N70,512,77,S2021A,object,GAMA,LeathaudGreene,Merian,178.1355073693646,2020B-0288,0.3935295462289744,600.0,1
77,--,N70,512,78,S2021A,object,GAMA,LeathaudGreene,Merian,178.42714203495797,2020B-0288,0.3101082454839691,600.0,1
78,--,N70,512,79,S2021A,object,GAMA,LeathaudGreene,Merian,178.72146485531064,2020B-0288,0.2599822100989436,600.0,1
79,--,N70,512,80,S2021A,object,GAMA,LeathaudGreene,Merian,179.01578437705007,2020B-0288,0.20987461599790302,600.0,1
80,--,N70,512,81,S2021A,object,GAMA,LeathaudGreene,Merian,177.20257461518702,2020B-0288,-0.9988085729774403,600.0,1
81,--,N70,512,82,S2021A,object,GAMA,LeathaudGreene,Merian,177.49425270627637,2020B-0288,-1.0822644395783314,600.0,1
82,--,N70,512,83,S2021A,object,GAMA,LeathaudGreene,Merian,177.78866786136112,2020B-0288,-1.1324562563479983,600.0,1
83,--,N70,512,84,S2021A,object,GAMA,LeathaudGreene,Merian,178.08309151474137,2020B-0288,-1.1826379992851535,600.0,1
84,--,N70,512,85,S2021A,object,GAMA,LeathaudGreene,Merian,178.134094413877,2020B-0288,3.178530799883001,600.0,1
85,--,N70,512,86,S2021A,object,GAMA,LeathaudGreene,Merian,178.42559283861974,2020B-0288,3.095109426730995,600.0,1
