object,comment,filter,seqtot,seqnum,seqid,expType,object,proposer,program,RA,propid,dec,expTime,count,wait
GAMA_J142437.16+003829.92_N708,--,N708,704,52,S2021A,object,GAMA_J142437.16+003829.92_N708,LeathaudGreene,Merian,216.15485735501838,2020B-0288,0.6416448233092298,600.0,1,False
GAMA_J142424.75-004828.74_N708,--,N708,704,53,S2021A,object,GAMA_J142424.75-004828.74_N708,LeathaudGreene,Merian,216.1031547092956,2020B-0288,-0.807985925993999,600.0,1,False
GAMA_J142534.94-005219.29_N708,--,N708,704,54,S2021A,object,GAMA_J142534.94-005219.29_N708,LeathaudGreene,Merian,216.39559145993678,2020B-0288,-0.8720274940841285,600.0,1,False
GAMA_J142645.71-005431.70_N708,--,N708,704,55,S2021A,object,GAMA_J142645.71-005431.70_N708,LeathaudGreene,Merian,216.69047021838117,2020B-0288,-0.9088072856119916,600.0,1,False
GAMA_J142756.48-005642.92_N708,--,N708,704,56,S2021A,object,GAMA_J142756.48-005642.92_N708,LeathaudGreene,Merian,216.9853722316366,2020B-0288,-0.9452558154329618,600.0,1,False
GAMA_J141432.07+004523.22_N708,--,N708,704,57,S2021A,object,GAMA_J141432.07+004523.22_N708,LeathaudGreene,Merian,213.63365964762176,2020B-0288,0.7564523332451197,600.0,1,False
GAMA_J141541.92+004124.58_N708,--,N708,704,58,S2021A,object,GAMA_J141541.92+004124.58_N708,LeathaudGreene,Merian,213.92467116882605,2020B-0288,0.6901630636463877,600.0,1,False
GAMA_J141652.47+003906.97_N708,--,N708,704,59,S2021A,object,GAMA_J141652.47+003906.97_N708,LeathaudGreene,Merian,214.21863278952546,2020B-0288,0.6519364655493302,600.0,1,False
GAMA_J141803.02+003650.48_N708,--,N708,704,60,S2021A,object,GAMA_J141803.02+003650.48_N708,LeathaudGreene,Merian,214.51260657325798,2020B-0288,0.6140232799790482,600.0,1,False
GAMA_J141751.61-004928.19_N708,--,N708,704,61,S2021A,object,GAMA_J141751.61-004928.19_N708,LeathaudGreene,Merian,214.46507169880059,2020B-0288,-0.8244981343288894,600.0,1,False
GAMA_J141901.79-005324.15_N708,--,N708,704,62,S2021A,object,GAMA_J141901.79-005324.15_N708,LeathaudGreene,Merian,214.75749686233354,2020B-0288,-0.8900437958222347,600.0,1,False
GAMA_J142012.56-005540.04_N708,--,N708,704,63,S2021A,object,GAMA_J142012.56-005540.04_N708,LeathaudGreene,Merian,215.0523698101736,2020B-0288,-0.9277903850665209,600.0,1,False
GAMA_J142123.34-005754.78_N708,--,N708,704,64,S2021A,object,GAMA_J142123.34-005754.78_N708,LeathaudGreene,Merian,215.34726618486465,2020B-0288,-0.965217126308212,600.0,1,False
GAMA_J140755.03+004354.49_N708,--,N708,704,65,S2021A,object,GAMA_J140755.03+004354.49_N708,LeathaudGreene,Merian,211.97931211298726,2020B-0288,0.7318039758974969,600.0,1,False
GAMA_J140904.88+003950.68_N708,--,N708,704,66,S2021A,object,GAMA_J140904.88+003950.68_N708,LeathaudGreene,Merian,212.27036966438757,2020B-0288,0.664078029211194,600.0,1,False
GAMA_J141015.44+003729.72_N708,--,N708,704,67,S2021A,object,GAMA_J141015.44+003729.72_N708,LeathaudGreene,Merian,212.56435902002335,2020B-0288,0.6249225405861291,600.0,1,False
GAMA_J141126.00+003509.84_N708,--,N708,704,68,S2021A,object,GAMA_J141126.00+003509.84_N708,LeathaudGreene,Merian,212.8583604134679,2020B-0288,0.5860685788145598,600.0,1,False
GAMA_J141116.07-005025.55_N708,--,N708,704,69,S2021A,object,GAMA_J141116.07-005025.55_N708,LeathaudGreene,Merian,212.81697475133225,2020B-0288,-0.8404311412134572,600.0,1,False
GAMA_J141226.25-005426.76_N708,--,N708,704,70,S2021A,object,GAMA_J141226.25-005426.76_N708,LeathaudGreene,Merian,213.10938586491352,2020B-0288,-0.907436024500391,600.0,1,False
GAMA_J141337.02-005646.04_N708,--,N708,704,71,S2021A,object,GAMA_J141337.02-005646.04_N708,LeathaudGreene,Merian,213.40425140654364,2020B-0288,-0.9461241864713089,600.0,1,False
GAMA_J141447.79-005904.21_N708,--,N708,704,72,S2021A,object,GAMA_J141447.79-005904.21_N708,LeathaudGreene,Merian,213.69914047082065,2020B-0288,-0.9845042484429605,600.0,1,False
GAMA_J140115.11+004227.92_N708,--,N708,704,73,S2021A,object,GAMA_J140115.11+004227.92_N708,LeathaudGreene,Merian,210.31296004419966,2020B-0288,0.7077572307907016,600.0,1,False
GAMA_J140224.97+003819.10_N708,--,N708,704,74,S2021A,object,GAMA_J140224.97+003819.10_N708,LeathaudGreene,Merian,210.60406204897487,2020B-0288,0.6386412574695933,600.0,1,False
GAMA_J140335.53+003554.89_N708,--,N708,704,75,S2021A,object,GAMA_J140335.53+003554.89_N708,LeathaudGreene,Merian,210.89807812699522,2020B-0288,0.5985831337671486,600.0,1,False
GAMA_J140446.10+003331.73_N708,--,N708,704,76,S2021A,object,GAMA_J140446.10+003331.73_N708,LeathaudGreene,Merian,211.1921060493909,2020B-0288,0.5588143091477956,600.0,1,False
